,State,Points_A_Cost
1,AK,-0.13
2,AL,-0.13
3,AR,-0.41
4,AZ,-0.06
5,CA,-0.51
6,CO,0.38
7,CT,-0.51
8,DC,-1.35
9,DE,0.78
10,FL,-0.57
11,GA,-0.23
12,HI,0.58
13,IA,0.11
14,ID,0.71
15,IL,0.16
16,IN,0.76
17,KS,-0.03
18,KY,-0.29
19,LA,-0.3
20,MA,0.03
21,MD,0.2
22,ME,0.46
23,MI,0.35
24,MN,0.82
25,MO,0.13
26,MS,-0.5
27,MT,0.19
28,NC,0.22
29,ND,-0.33
30,NE,-0.03
31,NH,0.62
32,NJ,-0.75
33,NM,-0.42
34,NV,-1.05
35,NY,-0.97
36,OH,0.56
37,OK,0.05
38,OR,0.67
39,PA,-0.02
40,PR,-1.13
41,RI,0.05
42,SC,0.32
43,SD,0.17
44,TN,-0.08
45,TX,-0.17
46,UT,0.64
47,VA,0.27
48,VI,-0.77
49,VT,0.33
50,WA,0.09
51,WI,1.26
52,WV,-0.41
53,WY,0.27